,name,wl,opponent,finish,date,location,weight,moneyline,bet_outcome,nationality,Lstreak,WinTKO,WinDecision
0,Raquel Pennington,0,Holly Holm,Decision,2015-02-28,"Los Angeles, California",Bantamweight,335.0,-100.0,American,0.0,0.0,1.0
1,Raquel Pennington,1,Ashlee Evans-Smith,Submission,2014-12-06,"Las Vegas, Nevada",Bantamweight,140.0,140.0,American,1.0,0.0,1.0
2,Raquel Pennington,0,Jessica Andrade,Decision,2014-03-15,"Dallas, Texas",Bantamweight,130.0,-100.0,American,0.0,0.0,1.0
3,Raquel Pennington,1,Roxanne Modafferi,Decision,2013-11-30,"Las Vegas, Nevada",Bantamweight,-230.0,100.0,American,0.0,0.0,0.0
4,Chris Camozzi,1,Tom Watson,Decision,2015-08-08,"Nashville, Tennessee",Middleweight,-175.0,100.0,American,5.0,1.0,4.0
5,Chris Camozzi,0,Ronaldo Souza,Submission,2015-04-18,"Newark, New Jersey",Middleweight,550.0,-100.0,American,4.0,1.0,4.0
6,Chris Camozzi,0,Rafael Natal,Decision,2014-09-05,"Ledyard, Connecticut",Middleweight,170.0,-100.0,American,3.0,1.0,4.0
7,Chris Camozzi,0,Bruno Santos,Decision,2014-07-05,"Las Vegas, Nevada",Middleweight,-260.0,-260.0,American,2.0,1.0,4.0
8,Chris Camozzi,0,Lorenz Larkin,Decision,2013-11-06,"Fort Campbell, Kentucky",Middleweight,220.0,-100.0,American,1.0,1.0,4.0
9,Chris Camozzi,0,Ronaldo Souza,Submission,2013-05-18,Jaragua do Sul,Middleweight,350.0,-100.0,American,0.0,1.0,4.0
10,Chris Camozzi,1,Nick Ring,Decision,2013-03-16,"Montreal, Quebec",Middleweight,140.0,140.0,American,0.0,1.0,3.0
11,Chris Camozzi,1,Luiz Cane,Decision,2012-10-13,Rio de Janeiro,Middleweight,140.0,140.0,American,0.0,1.0,2.0
12,Chris Camozzi,1,Nick Catone,TKO,2012-06-22,"Atlantic City, New Jersey",Middleweight,135.0,135.0,American,0.0,0.0,2.0
13,Chris Camozzi,1,Dustin Jacoby,Submission,2012-01-28,"Chicago, Illinois",Middleweight,-210.0,100.0,American,2.0,0.0,2.0
14,Chris Camozzi,0,Francis Carmont,Decision,2011-10-29,"Las Vegas, Nevada",Middleweight,-125.0,-125.0,American,1.0,0.0,2.0
15,Chris Camozzi,0,Kyle Noke,Submission,2011-02-27,Sydney,Middleweight,120.0,-100.0,American,0.0,0.0,2.0
16,Chris Camozzi,1,Yang Dongi,Decision,2010-10-23,"Anaheim, California",Middleweight,-110.0,100.0,American,0.0,0.0,1.0
17,Chris Camozzi,1,James Hammortree,Decision,2010-06-19,"Las Vegas, Nevada",Middleweight,-125.0,100.0,American,0.0,0.0,0.0
18,Donny Walker,0,Ken Stone,Submission,2011-09-17,"New Orleans, Louisiana",Bantamweight/Featherweight,100.0,-100.0,American,1.0,0.0,0.0
19,Donny Walker,0,Jeff Hougland,Decision,2011-07-02,Las Vegas,Bantamweight/Featherweight,-230.0,-230.0,American,0.0,0.0,0.0
20,Travis Browne,0,Andrei Arlovski,TKO,2015-05-23,"Las Vegas, Nevada",Heavyweight,-405.0,-405.0,American,0.0,6.0,1.0
21,Travis Browne,1,Brendan Schaub,TKO,2014-12-06,"Las Vegas, Nevada",Heavyweight,-333.0,100.0,American,1.0,5.0,1.0
22,Travis Browne,0,Fabricio Werdum,Decision,2014-04-19,"Orlando, Florida",Heavyweight,-210.0,-210.0,American,0.0,5.0,1.0
23,Travis Browne,1,Josh Barnett,TKO,2013-12-28,"Las Vegas, Nevada",Heavyweight,150.0,150.0,American,0.0,4.0,1.0
24,Travis Browne,1,Alistair Overeem,TKO,2013-08-17,"Boston, Massachusetts",Heavyweight,190.0,190.0,American,0.0,3.0,1.0
25,Travis Browne,1,Gabriel Gonzaga,TKO,2013-04-13,Las Vegas,Heavyweight,-210.0,100.0,American,1.0,2.0,1.0
26,Travis Browne,0,Antonio Silva,TKO,2012-10-05,"Minneapolis, Minnesota",Heavyweight,-280.0,-280.0,American,0.0,2.0,1.0
27,Travis Browne,1,Chad Griggs,Submission,2012-04-21,"Atlanta, Georgia",Heavyweight,-155.0,100.0,American,0.0,2.0,1.0
28,Travis Browne,1,Rob Broughton,Decision,2011-09-24,"Denver, Colorado",Heavyweight,-400.0,100.0,American,0.0,2.0,0.0
29,Travis Browne,1,Stefan Struve,TKO,2011-05-28,Las Vegas,Heavyweight,-140.0,100.0,American,0.0,1.0,0.0
31,Travis Browne,1,James McSweeney,TKO,2010-06-19,Las Vegas,Heavyweight,-145.0,100.0,American,0.0,0.0,0.0
32,Darrell Montague,0,Willie Gates,TKO,2015-07-12,"Las Vegas, Nevada",Bantamweight/Flyweight,-165.0,-165.0,American,2.0,0.0,0.0
33,Darrell Montague,0,Kyoji Horiguchi,Decision,2014-05-10,"Cincinnati, Ohio",Bantamweight/Flyweight,130.0,-100.0,American,1.0,0.0,0.0
34,Darrell Montague,0,John Dodson,TKO,2013-10-19,"Houston, Texas",Bantamweight/Flyweight,200.0,-100.0,American,0.0,0.0,0.0
35,Sam Sicilia,1,Yaotzin Meza,Decision,2015-07-15,"San Diego, California",Featherweight/Lightweight,-190.0,100.0,American,0.0,3.0,1.0
36,Sam Sicilia,1,Akira Corassani,TKO,2015-01-24,Stockholm,Featherweight/Lightweight,100.0,100.0,American,1.0,2.0,1.0
37,Sam Sicilia,0,Katsunori Kikuno,Submission,2014-09-20,Saitama,Featherweight/Lightweight,150.0,-100.0,American,0.0,2.0,1.0
38,Sam Sicilia,1,Aaron Phillips,Decision,2014-05-24,"Las Vegas, Nevada",Featherweight/Lightweight,-165.0,100.0,American,1.0,2.0,0.0
39,Sam Sicilia,0,Cole Miller,Submission,2014-01-15,"Duluth, Georgia",Featherweight/Lightweight,125.0,-100.0,American,0.0,2.0,0.0
40,Sam Sicilia,1,Godofredo Pepey,TKO,2013-11-09,Goiania,Featherweight/Lightweight,-190.0,100.0,American,2.0,1.0,0.0
41,Sam Sicilia,0,Maximo Blanco,Decision,2013-04-13,"Las Vegas, Nevada",Featherweight/Lightweight,185.0,-100.0,American,1.0,1.0,0.0
42,Sam Sicilia,0,Rony Jason,TKO,2012-10-13,Rio de Janeiro,Featherweight/Lightweight,205.0,-100.0,American,0.0,1.0,0.0
43,Sam Sicilia,1,Cristiano Marcello,TKO,2012-06-01,"Las Vegas, Nevada",Featherweight/Lightweight,-115.0,100.0,American,0.0,0.0,0.0
44,Ovince Saint Preux,0,Glover Teixeira,Submission,2015-08-08,"Nashville, Tennessee",Light Heavyweight/Heavyweight,100.0,-100.0,American,0.0,3.0,1.0
45,Ovince Saint Preux,1,Patrick Cummins,TKO,2015-04-18,"Newark, New Jersey",Light Heavyweight/Heavyweight,100.0,100.0,American,0.0,2.0,1.0
46,Ovince Saint Preux,1,Mauricio Rua,TKO,2014-11-08,Uberlandia,Light Heavyweight/Heavyweight,120.0,120.0,American,1.0,1.0,1.0
47,Ovince Saint Preux,0,Ryan Bader,Decision,2014-08-16,"Bangor, Maine",Light Heavyweight/Heavyweight,160.0,-100.0,American,0.0,1.0,1.0
48,Ovince Saint Preux,1,Ryan Jimmo,Submission,2014-06-14,"Vancouver, British Columbia",Light Heavyweight/Heavyweight,-170.0,100.0,American,0.0,1.0,1.0
49,Ovince Saint Preux,1,Nikita Krylov,Submission,2014-03-15,"Dallas, Texas",Light Heavyweight/Heavyweight,-280.0,100.0,American,0.0,1.0,1.0
50,Ovince Saint Preux,1,Cody Donovan,TKO,2013-08-17,"Boston, Massachusetts",Light Heavyweight/Heavyweight,-225.0,100.0,American,0.0,0.0,1.0
51,Ovince Saint Preux,1,Gian Villante,Decision,2013-04-27,"Newark, New Jersey",Light Heavyweight/Heavyweight,-175.0,100.0,American,0.0,0.0,0.0
52,Edgar Garcia,0,Hector Urbina,Submission,2014-11-15,Mexico City,Welterweight/Middleweight,-270.0,-270.0,Mexican,2.0,0.0,0.0
53,Edgar Garcia,0,DaMarques Johnson,Submission,2009-12-12,"Memphis, Tennessee",Welterweight/Middleweight,-315.0,-315.0,Mexican,1.0,0.0,0.0
54,Edgar Garcia,0,Brad Blackburn,Decision,2009-06-20,"Las Vegas, Nevada",Welterweight/Middleweight,-115.0,-115.0,Mexican,0.0,0.0,0.0
55,Costas Philippou,0,Gegard Mousasi,Decision,2015-05-16,Pasay,Middleweight/Light Heavyweight/Heavyweight,365.0,-100.0,missing,0.0,3.0,3.0
56,Costas Philippou,1,Lorenz Larkin,TKO,2014-05-10,"Cincinnati, Ohio",Middleweight/Light Heavyweight/Heavyweight,160.0,160.0,missing,2.0,2.0,3.0
57,Costas Philippou,0,Luke Rockhold,TKO,2014-01-15,"Duluth, Georgia",Middleweight/Light Heavyweight/Heavyweight,285.0,-100.0,missing,1.0,2.0,3.0
58,Costas Philippou,0,Francis Carmont,Decision,2013-09-21,"Toronto, Ontario",Middleweight/Light Heavyweight/Heavyweight,-175.0,-175.0,missing,0.0,2.0,3.0
59,Costas Philippou,1,Tim Boetsch,TKO,2012-12-29,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,105.0,105.0,missing,0.0,1.0,3.0
60,Costas Philippou,1,Riki Fukuda,Decision,2012-07-07,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,-175.0,100.0,missing,0.0,1.0,2.0
61,Costas Philippou,1,Court McGee,Decision,2012-03-03,Sydney,Middleweight/Light Heavyweight/Heavyweight,-170.0,100.0,missing,0.0,1.0,1.0
62,Costas Philippou,1,Jared Hamman,TKO,2011-12-10,Toronto,Middleweight/Light Heavyweight/Heavyweight,215.0,215.0,missing,0.0,0.0,1.0
63,Costas Philippou,1,Jorge Rivera,Decision,2011-08-06,"Philadelphia, Pennsylvania",Middleweight/Light Heavyweight/Heavyweight,145.0,145.0,missing,1.0,0.0,0.0
64,Costas Philippou,0,Nick Catone,Decision,2011-03-19,"Newark, New Jersey",Middleweight/Light Heavyweight/Heavyweight,200.0,-100.0,missing,0.0,0.0,0.0
65,Nate Loughran,0,Tim Credeur,TKO,2008-12-10,"Fayetteville, North Carolina",Welterweight,120.0,-100.0,American,0.0,0.0,0.0
66,Nate Loughran,1,Johnny Rees,Submission,2008-07-19,"Las Vegas, Nevada",Welterweight,-115.0,100.0,American,0.0,0.0,0.0
67,Dan Lauzon,0,Efrain Escudero,Decision,2010-05-29,"Las Vegas, Nevada, United States",Lightweight,300.0,-100.0,American,1.0,0.0,0.0
68,Dan Lauzon,0,Cole Miller,Submission,2010-01-02,"Las Vegas, Nevada, United States",Lightweight,155.0,-100.0,American,0.0,0.0,0.0
71,Jesse Lennox,0,Mike Pyle,Submission,2010-06-12,"Vancouver, British Columbia",Welterweight,-115.0,-115.0,American,1.0,1.0,0.0
72,Jesse Lennox,0,Rick Story,Decision,2010-01-11,"Fairfax, Virginia",Welterweight,195.0,-100.0,American,0.0,1.0,0.0
73,Jesse Lennox,1,Danillo Villefort,TKO,2009-08-08,"Philadelphia, Pennsylvania",Welterweight,170.0,170.0,American,0.0,0.0,0.0
74,Jessica Andrade,1,Sarah Moras,Decision,2015-07-15,"San Diego, California",Bantamweight,-315.0,100.0,Brazilian,1.0,0.0,2.0
75,Jessica Andrade,0,Marion Reneau,Submission,2015-02-22,Porto Alegre,Bantamweight,-190.0,-190.0,Brazilian,0.0,0.0,2.0
76,Jessica Andrade,1,Larissa Pacheco,Submission,2014-09-13,Brasilia,Bantamweight,-195.0,100.0,Brazilian,0.0,0.0,2.0
77,Jessica Andrade,1,Raquel Pennington,Decision,2014-03-15,"Dallas, Texas",Bantamweight,-170.0,100.0,Brazilian,0.0,0.0,1.0
78,Jessica Andrade,1,Rosi Sexton,Decision,2013-10-26,Manchester,Bantamweight,-200.0,100.0,Brazilian,1.0,0.0,0.0
79,Jessica Andrade,0,Liz Carmouche,TKO,2013-07-27,"Seattle, Washington",Bantamweight,435.0,-100.0,Brazilian,0.0,0.0,0.0
80,Cain Carrizosa,0,Leonardo Mafra,Decision,2015-03-21,Rio de Janeiro,Lightweight,110.0,-100.0,American,1.0,0.0,0.0
81,Cain Carrizosa,0,Chris Wade,Submission,2014-08-30,"Sacramento, California",Lightweight,100.0,-100.0,American,0.0,0.0,0.0
82,Dan Hooker,1,Hatsu Hioki,TKO,2015-05-10,Adelaide,Featherweight,200.0,200.0,New Zealander,1.0,1.0,0.0
83,Dan Hooker,0,Maximo Blanco,Decision,2014-09-20,Saitama,Featherweight,165.0,-100.0,New Zealander,0.0,1.0,0.0
84,Dan Hooker,1,Ian Entwistle,TKO,2014-06-28,Auckland,Featherweight,125.0,125.0,New Zealander,0.0,0.0,0.0
88,Per Eklund,0,Evan Dunham,TKO,2009-02-21,London,Featherweight/Lightweight/Welterweight,-170.0,-170.0,Swedish,0.0,0.0,0.0
89,Per Eklund,1,Samy Schiavo,Submission,2008-10-18,Birmingham,Featherweight/Lightweight/Welterweight,-200.0,100.0,Swedish,1.0,0.0,0.0
90,Per Eklund,0,Sam Stout,Decision,2008-01-19,Newcastle,Featherweight/Lightweight/Welterweight,215.0,-100.0,Swedish,0.0,0.0,0.0
92,Chad Laprise,1,Bryan Barberena,Decision,2015-04-25,"Montreal, Quebec",Lightweight,-350.0,100.0,Canadian,0.0,0.0,2.0
93,Chad Laprise,1,Yosdenis Cedeno,Decision,2014-10-04,"Halifax, Nova Scotia",Lightweight,-300.0,100.0,Canadian,0.0,0.0,1.0
94,Chad Laprise,1,Olivier Aubin-Mercier,Decision,2014-04-16,"Quebec City, Quebec",Lightweight,-150.0,100.0,Canadian,0.0,0.0,0.0
95,Bobby Green,0,Edson Barboza,Decision,2014-11-22,"Austin, Texas",Lightweight/Welterweight,-125.0,-125.0,American,0.0,1.0,2.0
96,Bobby Green,1,Josh Thomson,Decision,2014-07-26,"San Jose, California",Lightweight/Welterweight,180.0,180.0,American,0.0,1.0,1.0
97,Bobby Green,1,Pat Healy,Decision,2013-12-14,"Sacramento, California",Lightweight/Welterweight,170.0,170.0,American,0.0,1.0,0.0
98,Bobby Green,1,James Krause,TKO,2013-11-06,Fort Campbell,Lightweight/Welterweight,-140.0,100.0,American,0.0,0.0,0.0
99,Bobby Green,1,Jacob Volkmann,Submission,2013-02-02,Las Vegas,Lightweight/Welterweight,235.0,235.0,American,0.0,0.0,0.0
101,Carlos Diego Ferreira,0,Beneil Dariush,Decision,2014-10-25,Rio de Janeiro,Lightweight,-260.0,-260.0,Brazil,0.0,1.0,0.0
102,Carlos Diego Ferreira,1,Ramsey Nijem,TKO,2014-08-30,"Sacramento, California",Lightweight,-280.0,100.0,Brazil,0.0,0.0,0.0
103,Carlos Diego Ferreira,1,Colton Smith,Submission,2014-06-28,"San Antonio, Texas",Lightweight,-350.0,100.0,Brazil,0.0,0.0,0.0
106,Alan Patrick,0,Mairbek Taisumov,TKO,2015-06-20,Berlin,Lightweight,100.0,-100.0,Brazilian,0.0,1.0,1.0
107,Alan Patrick,1,John Makdessi,Decision,2014-02-01,"Newark, New Jersey",Lightweight,150.0,150.0,Brazilian,0.0,1.0,0.0
108,Alan Patrick,1,Garett Whiteley,TKO,2013-10-09,Barueri,Lightweight,-305.0,100.0,Brazilian,0.0,0.0,0.0
109,Quinton Jackson,1,Fabio Maldonado,Decision,2015-04-25,"Montreal, Quebec",Light Heavyweight/Heavyweight,-315.0,100.0,American,3.0,1.0,4.0
110,Quinton Jackson,0,Glover Teixeira,Decision,2013-01-26,"Chicago, Illinois",Light Heavyweight/Heavyweight,200.0,-100.0,American,2.0,1.0,4.0
111,Quinton Jackson,0,Ryan Bader,Decision,2012-02-26,Saitama,Light Heavyweight/Heavyweight,-190.0,-190.0,American,1.0,1.0,4.0
112,Quinton Jackson,0,Jon Jones,Submission,2011-09-24,"Denver, Colorado",Light Heavyweight/Heavyweight,225.0,-100.0,American,0.0,1.0,4.0
113,Quinton Jackson,1,Matt Hamill,Decision,2011-05-28,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,-260.0,100.0,American,0.0,1.0,3.0
114,Quinton Jackson,1,Lyoto Machida,Decision,2010-11-20,"Auburn Hills, Michigan",Light Heavyweight/Heavyweight,165.0,165.0,American,1.0,1.0,2.0
115,Quinton Jackson,0,Rashad Evans,Decision,2010-05-29,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,-115.0,-115.0,American,0.0,1.0,2.0
116,Quinton Jackson,1,Keith Jardine,Decision,2009-03-07,"Columbus, Ohio",Light Heavyweight/Heavyweight,-240.0,100.0,American,0.0,1.0,1.0
117,Quinton Jackson,1,Wanderlei Silva,TKO,2008-12-27,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,-115.0,100.0,American,1.0,0.0,1.0
118,Quinton Jackson,0,Forrest Griffin,Decision,2008-07-05,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,-350.0,-350.0,American,0.0,0.0,1.0
119,Quinton Jackson,1,Dan Henderson,Decision,2007-09-08,"London, England",Light Heavyweight/Heavyweight,-155.0,100.0,American,0.0,0.0,0.0
120,Brendan O'Reilly,1,Vik Grujic,Decision,2015-05-10,Adelaide,Welterweight,110.0,110.0,Australian,1.0,0.0,0.0
121,Brendan O'Reilly,0,Zhang Lipeng,Decision,2014-08-23,Macau,Welterweight,-165.0,-165.0,Australian,0.0,0.0,0.0
122,Ross Pearson,0,Evan Dunham,Decision,2015-07-18,Glasgow,Featherweight/Lightweight,-175.0,-175.0,English,0.0,5.0,4.0
123,Ross Pearson,1,Sam Stout,TKO,2015-03-14,"Dallas, Texas",Featherweight/Lightweight,-210.0,100.0,English,1.0,4.0,4.0
124,Ross Pearson,0,Al Iaquinta,TKO,2014-11-08,Sydney,Featherweight/Lightweight,-135.0,-135.0,English,0.0,4.0,4.0
125,Ross Pearson,1,Gray Maynard,TKO,2014-08-16,"Bangor, Maine",Featherweight/Lightweight,-145.0,100.0,English,1.0,3.0,4.0
126,Ross Pearson,0,Diego Sanchez,Decision,2014-06-07,"Albuquerque, New Mexico",Featherweight/Lightweight,-130.0,-130.0,English,0.0,3.0,4.0
128,Ross Pearson,1,Ryan Couture,TKO,2013-04-06,Stockholm,Featherweight/Lightweight,-290.0,100.0,English,0.0,2.0,4.0
129,Ross Pearson,1,George Sotiropoulos,TKO,2012-12-15,Gold Coast,Featherweight/Lightweight,115.0,115.0,English,1.0,1.0,4.0
130,Ross Pearson,0,Cub Swanson,TKO,2012-06-22,"Atlantic City, New Jersey",Featherweight/Lightweight,-195.0,-195.0,English,0.0,1.0,4.0
131,Ross Pearson,1,Junior Assuncao,Decision,2011-12-30,"Las Vegas, Nevada",Featherweight/Lightweight,-260.0,100.0,English,1.0,1.0,3.0
132,Ross Pearson,0,Edson Barboza,Decision,2011-08-27,Rio de Janeiro,Featherweight/Lightweight,180.0,-100.0,English,0.0,1.0,3.0
133,Ross Pearson,1,Spencer Fisher,Decision,2011-02-27,Sydney,Featherweight/Lightweight,-120.0,100.0,English,1.0,1.0,2.0
134,Ross Pearson,0,Cole Miller,Submission,2010-09-15,"Austin, Texas",Featherweight/Lightweight,-210.0,-210.0,English,0.0,1.0,2.0
135,Ross Pearson,1,Dennis Siver,Decision,2010-03-31,"Charlotte, North Carolina",Featherweight/Lightweight,-295.0,100.0,English,0.0,1.0,1.0
136,Ross Pearson,1,Aaron Riley,TKO,2009-11-14,Manchester,Featherweight/Lightweight,205.0,205.0,English,0.0,0.0,1.0
137,Ross Pearson,1,Andre Winner,Decision,2009-06-20,"Las Vegas, Nevada",Featherweight/Lightweight,165.0,165.0,English,0.0,0.0,0.0
138,Nicolas Dalby,1,Elizeu Zaleski dos Santos,Decision,2015-05-30,Goiania,Welterweight,-350.0,100.0,Danish,0.0,0.0,0.0
142,Jason Lambert,0,Jason MacDonald,Submission,2008-09-06,"Atlanta, Georgia",Middleweight/Light Heavyweight/Heavyweight,-105.0,-105.0,American,2.0,0.0,0.0
143,Jason Lambert,0,Luiz Cane,TKO,2008-06-07,London,Middleweight/Light Heavyweight/Heavyweight,-130.0,-130.0,American,1.0,0.0,0.0
144,Jason Lambert,0,Wilson Gouveia,TKO,2008-01-19,Newcastle,Middleweight/Light Heavyweight/Heavyweight,-130.0,-130.0,American,0.0,0.0,0.0
145,Godofredo Pepey,1,Andre Fili,Submission,2015-03-21,Rio de Janeiro,Featherweight,200.0,200.0,Brazilian,0.0,1.0,0.0
146,Godofredo Pepey,1,Dashon Johnson,Submission,2014-09-13,Brasilia,Featherweight,-175.0,100.0,Brazilian,0.0,1.0,0.0
147,Godofredo Pepey,1,Noad Lahat,TKO,2014-03-23,Natal,Featherweight,140.0,140.0,Brazilian,1.0,0.0,0.0
148,Godofredo Pepey,0,Sam Sicilia,TKO,2013-11-09,Goiania,Featherweight,150.0,-100.0,Brazilian,0.0,0.0,0.0
152,Thiago Silva,1,Matt Hamill,Decision,2013-10-09,Barueri,Light Heavyweight/Heavyweight,-285.0,100.0,Brazilian,0.0,4.0,0.0
153,Thiago Silva,1,Rafael Cavalcante,TKO,2013-06-08,Fortaleza,Light Heavyweight/Heavyweight,110.0,110.0,Brazilian,0.0,3.0,0.0
155,Thiago Silva,0,Alexander Gustafsson,Decision,2012-04-14,Stockholm,Light Heavyweight/Heavyweight,240.0,-100.0,Brazilian,0.0,3.0,0.0
157,Thiago Silva,0,Rashad Evans,Decision,2010-01-02,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,125.0,-100.0,Brazilian,0.0,3.0,0.0
158,Thiago Silva,1,Keith Jardine,TKO,2009-08-29,"Portland, Oregon",Light Heavyweight/Heavyweight,200.0,200.0,Brazilian,1.0,2.0,0.0
159,Thiago Silva,0,Lyoto Machida,TKO,2009-01-31,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,180.0,-100.0,Brazilian,0.0,2.0,0.0
160,Thiago Silva,1,Antonio Mendes,Submission,2008-05-24,"Las Vegas, Nevada",Light Heavyweight/Heavyweight,-550.0,100.0,Brazilian,0.0,2.0,0.0
161,Thiago Silva,1,Houston Alexander,TKO,2007-11-17,"Newark, New Jersey",Light Heavyweight/Heavyweight,160.0,160.0,Brazilian,0.0,1.0,0.0
162,Thiago Silva,1,Tomasz Drwal,TKO,2007-09-08,London,Light Heavyweight/Heavyweight,-285.0,100.0,Brazilian,0.0,0.0,0.0
167,Dan Cramer,0,Matthew Riddle,Decision,2009-08-08,"Philadelphia, Pennsylvania",Welterweight/Middleweight/Light Heavyweight/Heavyweight,-152.0,-152.0,American,0.0,0.0,1.0
168,Dan Cramer,1,Matt Arroyo,Decision,2009-01-31,"Las Vegas, Nevada",Welterweight/Middleweight/Light Heavyweight/Heavyweight,165.0,165.0,American,0.0,0.0,0.0
169,Mike De La Torre,0,Maximo Blanco,TKO,2015-07-12,"Las Vegas, Nevada",Featherweight/Lightweight,115.0,-100.0,American,0.0,1.0,0.0
170,Mike De La Torre,1,Tiago Trator,TKO,2015-02-22,Porto Alegre,Featherweight/Lightweight,135.0,135.0,American,0.0,0.0,0.0
172,Mike De La Torre,0,Mark Bocek,Decision,2014-04-16,"Quebec City, Quebec",Featherweight/Lightweight,285.0,-100.0,American,0.0,0.0,0.0
173,David Heath,0,Tim Boetsch,TKO,2008-02-02,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,-255.0,-255.0,American,1.0,0.0,0.0
174,David Heath,0,Renato Sobral,Submission,2007-08-25,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,220.0,-100.0,American,0.0,0.0,0.0
175,Ruan Potts,0,Derrick Lewis,TKO,2015-02-28,"Los Angeles, California",Heavyweight,265.0,-100.0,South African,2.0,0.0,0.0
176,Ruan Potts,0,Anthony Hamilton,TKO,2014-08-30,"Sacramento, California",Heavyweight,160.0,-100.0,South African,1.0,0.0,0.0
177,Ruan Potts,0,Soa Palelei,TKO,2014-05-10,"Cincinnati, Ohio",Heavyweight,150.0,-100.0,South African,0.0,0.0,0.0
178,Stefan Struve,1,Antonio Rodrigo Nogueira,Decision,2015-08-01,Rio de Janeiro,Heavyweight,-175.0,100.0,Dutch,2.0,4.0,1.0
179,Stefan Struve,0,Alistair Overeem,TKO,2014-12-13,"Phoenix, Arizona",Heavyweight,175.0,-100.0,Dutch,1.0,4.0,1.0
180,Stefan Struve,0,Mark Hunt,TKO,2013-03-03,Saitama,Heavyweight,-150.0,-150.0,Dutch,0.0,4.0,1.0
181,Stefan Struve,1,Stipe Miocic,TKO,2012-09-29,Nottingham,Heavyweight,205.0,205.0,Dutch,0.0,3.0,1.0
182,Stefan Struve,1,Lavar Johnson,Submission,2012-05-26,"Las Vegas, Nevada",Heavyweight,-105.0,100.0,Dutch,0.0,3.0,1.0
183,Stefan Struve,1,Dave Herman,TKO,2012-02-15,"Omaha, Nebraska",Heavyweight,-115.0,100.0,Dutch,0.0,2.0,1.0
184,Stefan Struve,1,Pat Barry,Submission,2011-10-01,"Washington, D.C.",Heavyweight,135.0,135.0,Dutch,1.0,2.0,1.0
185,Stefan Struve,0,Travis Browne,TKO,2011-05-28,"Las Vegas, Nevada",Heavyweight,100.0,-100.0,Dutch,0.0,2.0,1.0
186,Stefan Struve,1,Sean McCorkle,TKO,2010-12-11,"Montreal, Quebec",Heavyweight,-260.0,100.0,Dutch,0.0,1.0,1.0
187,Stefan Struve,1,Christian Morecraft,TKO,2010-08-07,"Oakland, California",Heavyweight,-200.0,100.0,Dutch,1.0,0.0,1.0
188,Stefan Struve,0,Roy Nelson,TKO,2010-03-31,"Charlotte, North Carolina",Heavyweight,149.0,-100.0,Dutch,0.0,0.0,1.0
189,Stefan Struve,1,Paul Buentello,Decision,2009-12-12,"Memphis, Tennessee",Heavyweight,-124.0,100.0,Dutch,0.0,0.0,0.0
190,Stefan Struve,1,Chase Gormley,Submission,2009-10-24,"Los Angeles, California",Heavyweight,150.0,150.0,Dutch,0.0,0.0,0.0
191,Stefan Struve,1,Denis Stojnic,Submission,2009-06-13,Cologne,Heavyweight,105.0,105.0,Dutch,1.0,0.0,0.0
192,Stefan Struve,0,Junior dos Santos,TKO,2009-02-21,London,Heavyweight,175.0,-100.0,Dutch,0.0,0.0,0.0
193,Dhiego Lima,0,Li Jingliang,TKO,2015-05-16,Pasay,Welterweight,-195.0,-195.0,Brazilian,1.0,0.0,1.0
194,Dhiego Lima,0,Tim Means,TKO,2015-02-28,"Los Angeles, California",Welterweight,100.0,-100.0,Brazilian,0.0,0.0,1.0
195,Dhiego Lima,1,Jorge de Oliveira,Decision,2014-11-08,Uberlandia,Welterweight,-300.0,100.0,Brazilian,1.0,0.0,0.0
196,Dhiego Lima,0,Eddie Gordon,TKO,2014-07-06,"Las Vegas, Nevada",Welterweight,-245.0,-245.0,Brazilian,0.0,0.0,0.0
197,Louis Gaudinot,0,Kyoji Horiguchi,Decision,2015-01-03,"Las Vegas, Nevada",Bantamweight/Flyweight,400.0,-100.0,American,0.0,0.0,0.0
199,Louis Gaudinot,0,Tim Elliott,Decision,2013-08-31,"Milwaukee, Wisconsin",Bantamweight/Flyweight,120.0,-100.0,American,0.0,0.0,0.0
200,Louis Gaudinot,1,John Lineker,Submission,2012-05-05,"East Rutherford, New Jersey",Bantamweight/Flyweight,220.0,220.0,American,1.0,0.0,0.0
201,Louis Gaudinot,0,Johnny Bedford,TKO,2011-12-03,"Las Vegas, Nevada",Bantamweight/Flyweight,150.0,-100.0,American,0.0,0.0,0.0
202,Quinn Mulhern,0,Katsunori Kikuno,Decision,2014-01-04,"Marina Bay, Singapore",Lightweight/Welterweight,150.0,-100.0,American,1.0,0.0,0.0
203,Quinn Mulhern,0,Rick Story,TKO,2013-03-16,"Montreal, Quebec",Lightweight/Welterweight,240.0,-100.0,American,0.0,0.0,0.0
